match_id,league,league_name,season,matchday,utc_date,status,stage,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,home_goals_ht,away_goals_ht,winner,venue,match_date,result,total_goals,goal_difference,ingested_at
551981,cl,Champions League,2025,1.0,2025-09-16 16:45:00+00:00,FINISHED,LEAGUE_STAGE,Athletic Club,77,Arsenal FC,57,0,2,0,0,AWAY_TEAM,,2025-09-16,A,2,-2,2026-09-01T19:56:04+00:00
552049,cl,Champions League,2025,1.0,2025-09-16 16:45:00+00:00,FINISHED,LEAGUE_STAGE,PSV,674,Royale Union Saint-Gilloise,3929,1,3,0,2,AWAY_TEAM,,2025-09-16,A,4,-2,2026-09-01T19:56:04+00:00
551941,cl,Champions League,2025,1.0,2025-09-16 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Juventus FC,109,Borussia Dortmund,4,4,4,0,0,DRAW,,2025-09-16,D,8,0,2026-09-01T19:56:04+00:00
551991,cl,Champions League,2025,1.0,2025-09-16 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Sport Lisboa e Benfica,1903,Qarabağ Ağdam FK,611,2,3,2,1,AWAY_TEAM,,2025-09-16,A,5,-1,2026-09-01T19:56:04+00:00
552012,cl,Champions League,2025,1.0,2025-09-16 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Tottenham Hotspur FC,73,Villarreal CF,94,1,0,1,0,HOME_TEAM,,2025-09-16,H,1,1,2026-09-01T19:56:04+00:00
551927,cl,Champions League,2025,1.0,2025-09-16 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Real Madrid CF,86,Olympique de Marseille,516,2,1,1,1,HOME_TEAM,,2025-09-16,H,3,1,2026-09-01T19:56:04+00:00
552023,cl,Champions League,2025,1.0,2025-09-17 16:45:00+00:00,FINISHED,LEAGUE_STAGE,SK Slavia Praha,930,FK Bodø/Glimt,5721,2,2,1,0,DRAW,,2025-09-17,D,4,0,2026-09-01T19:56:04+00:00
552031,cl,Champions League,2025,1.0,2025-09-17 16:45:00+00:00,FINISHED,LEAGUE_STAGE,PAE Olympiakos SFP,654,Paphos FC,11034,0,0,0,0,DRAW,,2025-09-17,D,0,0,2026-09-01T19:56:04+00:00
551959,cl,Champions League,2025,1.0,2025-09-17 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Paris Saint-Germain FC,524,Atalanta BC,102,4,0,2,0,HOME_TEAM,,2025-09-17,H,4,4,2026-09-01T19:56:04+00:00
551908,cl,Champions League,2025,1.0,2025-09-17 19:00:00+00:00,FINISHED,LEAGUE_STAGE,FC Bayern München,5,Chelsea FC,61,3,1,2,1,HOME_TEAM,,2025-09-17,H,4,2,2026-09-01T19:56:04+00:00
551936,cl,Champions League,2025,1.0,2025-09-17 19:00:00+00:00,FINISHED,LEAGUE_STAGE,AFC Ajax,678,FC Internazionale Milano,108,0,2,0,1,AWAY_TEAM,,2025-09-17,A,2,-2,2026-09-01T19:56:04+00:00
551946,cl,Champions League,2025,1.0,2025-09-17 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Liverpool FC,64,Club Atlético de Madrid,78,3,2,2,1,HOME_TEAM,,2025-09-17,H,5,1,2026-09-01T19:56:04+00:00
551975,cl,Champions League,2025,1.0,2025-09-18 16:45:00+00:00,FINISHED,LEAGUE_STAGE,FC København,1876,Bayer 04 Leverkusen,3,2,2,1,0,DRAW,,2025-09-18,D,4,0,2026-09-01T19:56:04+00:00
551995,cl,Champions League,2025,1.0,2025-09-18 16:45:00+00:00,FINISHED,LEAGUE_STAGE,Club Brugge KV,851,AS Monaco FC,548,4,1,3,0,HOME_TEAM,,2025-09-18,H,5,3,2026-09-01T19:56:04+00:00
551958,cl,Champions League,2025,1.0,2025-09-18 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Newcastle United FC,67,FC Barcelona,81,1,2,0,0,AWAY_TEAM,,2025-09-18,A,3,-1,2026-09-01T19:56:04+00:00
551965,cl,Champions League,2025,1.0,2025-09-18 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Manchester City FC,65,SSC Napoli,113,2,0,0,0,HOME_TEAM,,2025-09-18,H,2,2,2026-09-01T19:56:04+00:00
552000,cl,Champions League,2025,1.0,2025-09-18 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Eintracht Frankfurt,19,Galatasaray SK,610,5,1,3,1,HOME_TEAM,,2025-09-18,H,6,4,2026-09-01T19:56:04+00:00
552027,cl,Champions League,2025,1.0,2025-09-18 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Sporting Clube de Portugal,498,FK Kairat,10601,4,1,1,0,HOME_TEAM,,2025-09-18,H,5,3,2026-09-01T19:56:04+00:00
551982,cl,Champions League,2025,2.0,2025-09-30 16:45:00+00:00,FINISHED,LEAGUE_STAGE,Atalanta BC,102,Club Brugge KV,851,2,1,0,1,HOME_TEAM,,2025-09-30,H,3,1,2026-09-01T19:56:04+00:00
551930,cl,Champions League,2025,2.0,2025-09-30 16:45:00+00:00,FINISHED,LEAGUE_STAGE,FK Kairat,10601,Real Madrid CF,86,0,5,0,1,AWAY_TEAM,,2025-09-30,A,5,-5,2026-09-01T19:56:04+00:00
551917,cl,Champions League,2025,2.0,2025-09-30 19:00:00+00:00,FINISHED,LEAGUE_STAGE,Chelsea FC,61,Sport Lisboa e Benfica,1903,1,0,1,0,HOME_TEAM,,2025-09-30,H,1,1,2026-09-01T19:56:04+00:00
