match_id,league,league_name,season,matchday,utc_date,status,stage,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,home_goals_ht,away_goals_ht,winner,venue,match_date,result,total_goals,goal_difference,ingested_at
559715,fl1,Ligue 1,2026,1,2026-08-21 18:45:00+00:00,FINISHED,REGULAR_SEASON,Olympique de Marseille,516,RC Strasbourg Alsace,576,4.0,0.0,0.0,0.0,HOME_TEAM,,2026-08-21,H,4.0,4.0,2026-09-01T10:38:19+00:00
559712,fl1,Ligue 1,2026,1,2026-08-22 15:15:00+00:00,FINISHED,REGULAR_SEASON,Racing Club de Lens,546,AJ Auxerre,519,5.0,2.0,1.0,0.0,HOME_TEAM,,2026-08-22,H,7.0,3.0,2026-09-01T10:38:19+00:00
559711,fl1,Ligue 1,2026,1,2026-08-22 18:45:00+00:00,FINISHED,REGULAR_SEASON,Le Mans FC,535,Stade Brestois 29,512,2.0,2.0,1.0,1.0,DRAW,,2026-08-22,D,4.0,0.0,2026-09-01T10:38:19+00:00
559714,fl1,Ligue 1,2026,1,2026-08-22 18:45:00+00:00,FINISHED,REGULAR_SEASON,ES Troyes AC,531,Paris FC,1045,0.0,0.0,0.0,0.0,DRAW,,2026-08-22,D,0.0,0.0,2026-09-01T10:38:19+00:00
559716,fl1,Ligue 1,2026,1,2026-08-22 18:45:00+00:00,FINISHED,REGULAR_SEASON,OGC Nice,522,FC Lorient,525,0.0,0.0,0.0,0.0,DRAW,,2026-08-22,D,0.0,0.0,2026-09-01T10:38:19+00:00
559718,fl1,Ligue 1,2026,1,2026-08-22 18:45:00+00:00,FINISHED,REGULAR_SEASON,Toulouse FC,511,Olympique Lyonnais,523,0.0,2.0,0.0,0.0,AWAY_TEAM,,2026-08-22,A,2.0,-2.0,2026-09-01T10:38:19+00:00
559717,fl1,Ligue 1,2026,1,2026-08-23 13:00:00+00:00,FINISHED,REGULAR_SEASON,Angers SCO,532,Lille OSC,521,0.0,2.0,0.0,2.0,AWAY_TEAM,,2026-08-23,A,2.0,-2.0,2026-09-01T10:38:19+00:00
559719,fl1,Ligue 1,2026,1,2026-08-23 15:15:00+00:00,FINISHED,REGULAR_SEASON,Le Havre AC,533,AS Monaco FC,548,0.0,1.0,0.0,1.0,AWAY_TEAM,,2026-08-23,A,1.0,-1.0,2026-09-01T10:38:19+00:00
559713,fl1,Ligue 1,2026,1,2026-08-23 18:45:00+00:00,FINISHED,REGULAR_SEASON,Stade Rennais FC 1901,529,Paris Saint-Germain FC,524,2.0,2.0,2.0,0.0,DRAW,,2026-08-23,D,4.0,0.0,2026-09-01T10:38:19+00:00
559702,fl1,Ligue 1,2026,2,2026-08-28 18:45:00+00:00,FINISHED,REGULAR_SEASON,Lille OSC,521,Paris Saint-Germain FC,524,2.0,2.0,1.0,0.0,DRAW,,2026-08-28,D,4.0,0.0,2026-09-01T10:38:19+00:00
