match_id,league,league_name,season,matchday,utc_date,status,stage,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,home_goals_ht,away_goals_ht,winner,venue,match_date,result,total_goals,goal_difference,ingested_at
504020,ppl,Primeira Liga,2024,1,2024-08-09 19:15:00+00:00,FINISHED,REGULAR_SEASON,Sporting Clube de Portugal,498,Rio Ave FC,496,3,1,2,0,HOME_TEAM,,2024-08-09,H,4,2,2026-09-01T20:11:03+00:00
504016,ppl,Primeira Liga,2024,1,2024-08-10 14:30:00+00:00,FINISHED,REGULAR_SEASON,AVS,10340,CD Nacional,5529,1,1,0,1,DRAW,,2024-08-10,D,2,0,2026-09-01T20:11:03+00:00
504021,ppl,Primeira Liga,2024,1,2024-08-10 17:00:00+00:00,FINISHED,REGULAR_SEASON,Casa Pia AC,6618,Boavista FC,810,0,1,0,0,AWAY_TEAM,,2024-08-10,A,1,-1,2026-09-01T20:11:03+00:00
504024,ppl,Primeira Liga,2024,1,2024-08-10 19:30:00+00:00,FINISHED,REGULAR_SEASON,FC Porto,503,Gil Vicente FC,5533,3,0,1,0,HOME_TEAM,,2024-08-10,H,3,3,2026-09-01T20:11:03+00:00
504023,ppl,Primeira Liga,2024,1,2024-08-11 14:30:00+00:00,FINISHED,REGULAR_SEASON,GD Estoril Praia,582,CD Santa Clara,5530,1,4,1,1,AWAY_TEAM,,2024-08-11,A,5,-3,2026-09-01T20:11:03+00:00
504017,ppl,Primeira Liga,2024,1,2024-08-11 17:00:00+00:00,FINISHED,REGULAR_SEASON,SC Farense,5602,Moreirense FC,583,1,2,0,1,AWAY_TEAM,,2024-08-11,A,3,-1,2026-09-01T20:11:03+00:00
504018,ppl,Primeira Liga,2024,1,2024-08-11 17:00:00+00:00,FINISHED,REGULAR_SEASON,FC Famalicão,5531,Sport Lisboa e Benfica,1903,2,0,1,0,HOME_TEAM,,2024-08-11,H,2,2,2026-09-01T20:11:03+00:00
504022,ppl,Primeira Liga,2024,1,2024-08-11 19:30:00+00:00,FINISHED,REGULAR_SEASON,Sporting Clube de Braga,5613,CF Estrela da Amadora,9136,1,1,0,0,DRAW,,2024-08-11,D,2,0,2026-09-01T20:11:03+00:00
504019,ppl,Primeira Liga,2024,1,2024-08-12 19:15:00+00:00,FINISHED,REGULAR_SEASON,FC Arouca,712,Vitória SC,5543,0,1,0,1,AWAY_TEAM,,2024-08-12,A,1,-1,2026-09-01T20:11:03+00:00
504009,ppl,Primeira Liga,2024,2,2024-08-16 16:00:00+00:00,FINISHED,REGULAR_SEASON,CD Santa Clara,5530,FC Porto,503,0,2,0,2,AWAY_TEAM,,2024-08-16,A,2,-2,2026-09-01T20:11:03+00:00
504013,ppl,Primeira Liga,2024,2,2024-08-16 19:15:00+00:00,FINISHED,REGULAR_SEASON,Gil Vicente FC,5533,AVS,10340,4,2,2,2,HOME_TEAM,,2024-08-16,H,6,2,2026-09-01T20:11:03+00:00
504014,ppl,Primeira Liga,2024,2,2024-08-17 14:30:00+00:00,FINISHED,REGULAR_SEASON,Rio Ave FC,496,SC Farense,5602,1,0,1,0,HOME_TEAM,,2024-08-17,H,1,1,2026-09-01T20:11:03+00:00
504007,ppl,Primeira Liga,2024,2,2024-08-17 17:00:00+00:00,FINISHED,REGULAR_SEASON,CD Nacional,5529,Sporting Clube de Portugal,498,1,6,1,2,AWAY_TEAM,,2024-08-17,A,7,-5,2026-09-01T20:11:03+00:00
504010,ppl,Primeira Liga,2024,2,2024-08-17 19:30:00+00:00,FINISHED,REGULAR_SEASON,Sport Lisboa e Benfica,1903,Casa Pia AC,6618,3,0,0,0,HOME_TEAM,,2024-08-17,H,3,3,2026-09-01T20:11:03+00:00
504012,ppl,Primeira Liga,2024,2,2024-08-18 14:30:00+00:00,FINISHED,REGULAR_SEASON,Moreirense FC,583,FC Arouca,712,3,1,2,1,HOME_TEAM,,2024-08-18,H,4,2,2026-09-01T20:11:03+00:00
